age,sex,residence,country.birth,income
67,Female,Sevilla,España,36000
36,Male,Alacant,España,10000
30,Male,Melilla,España,20000
20,Male,Murcia,Estados Unidos de América,65000
41,Male,Guadalajara,Colombia,12000
51,Male,Madrid,España,112000
20,Male,Zamora,China,19000
55,Female,Alacant,España,30000
56,Male,Bizkaia,España,10000
66,Female,Madrid,España,15000
20,Male,Barcelona,España,22000
46,Female,Jaén,Portugal,11000
52,Male,València,España,32000
19,Female,Cantabria,España,71000
81,Male,Barcelona,España,13000
38,Female,Barcelona,España,22000
60,Female,Huesca,España,17000
48,Male,Córdoba,España,35000
29,Male,Sevilla,España,13000
70,Female,Gipuzkoa,España,8000
23,Female,Córdoba,España,16000
21,Female,Madrid,España,23000
53,Female,Madrid,Venezuela,20000
18,Male,Gipuzkoa,España,13000
19,Female,Santa Cruz de Tenerife,España,61000
35,Male,Bizkaia,España,23000
18,Male,Sevilla,España,12000
22,Female,Tarragona,España,30000
43,Female,Barcelona,España,16000
49,Female,Tarragona,Paraguay,81000
28,Male,Illes Balears,España,19000
70,Female,Málaga,España,14000
48,Female,Lugo,España,5000
54,Female,Huesca,España,10000
30,Male,Barcelona,España,16000
36,Male,Alacant,Ucrania,25000
46,Female,Gipuzkoa,Ecuador,8000
60,Male,Sevilla,España,15000
19,Female,Alacant,España,27000
54,Female,Las Palmas,España,13000
79,Male,Murcia,España,11000
57,Male,Santa Cruz de Tenerife,Bolivia,56000
66,Female,Tarragona,España,15000
67,Female,Madrid,España,33000
50,Male,Madrid,España,26000
27,Male,Málaga,España,24000
76,Female,Bizkaia,España,16000
63,Male,València,España,18000
69,Male,Alacant,España,16000
84,Female,Lugo,España,6000
48,Male,Madrid,España,38000
64,Male,Bizkaia,España,23000
40,Female,Madrid,España,13000
33,Male,Madrid,España,7000
18,Female,Barcelona,España,14000
40,Female,València,España,62000
59,Female,Málaga,España,15000
71,Female,Las Palmas,España,30000
24,Male,Tarragona,España,46000
23,Male,Granada,España,75000
44,Male,Zamora,España,39000
41,Female,Granada,España,11000
37,Male,Salamanca,España,26000
40,Male,Barcelona,España,17000
36,Male,Palencia,España,12000
33,Female,València,España,27000
74,Female,Murcia,España,35000
21,Female,Ciudad Real,España,34000
58,Male,Almería,España,8000
29,Female,Barcelona,España,63000
35,Female,Cáceres,España,14000
18,Female,Granada,España,37000
47,Male,Huesca,España,57000
19,Female,Alacant,España,21000
45,Male,Cantabria,España,24000
55,Male,A Coruña,España,18000
54,Female,Guadalajara,España,32000
77,Female,Badajoz,España,26000
20,Male,Madrid,España,24000
44,Male,Las Palmas,España,7000
35,Female,València,España,29000
30,Male,Madrid,España,87000
37,Female,Lugo,España,53000
61,Male,Valladolid,España,22000
32,Female,Barcelona,España,6000
47,Female,Madrid,España,52000
34,Male,Santa Cruz de Tenerife,España,47000
27,Male,Barcelona,España,22000
78,Female,Ceuta,España,37000
25,Male,Madrid,España,47000
44,Female,Alacant,España,32000
72,Male,Alacant,España,30000
70,Female,Guadalajara,España,20000
27,Female,Murcia,España,15000
45,Female,València,España,10000
67,Female,Ávila,España,45000
33,Male,Huelva,España,32000
55,Male,Madrid,España,16000
64,Female,Ceuta,España,34000
41,Female,Alacant,España,17000
55,Male,Madrid,España,18000
49,Female,Gipuzkoa,España,35000
69,Female,Zamora,España,8000
57,Male,Melilla,Bélgica,12000
62,Female,Soria,España,24000
26,Female,Cantabria,España,16000
71,Female,Málaga,España,44000
28,Female,Santa Cruz de Tenerife,España,46000
69,Female,Cádiz,Marruecos,19000
18,Male,Lleida,España,10000
37,Male,A Coruña,España,22000
59,Male,Barcelona,España,20000
50,Female,León,España,23000
53,Female,Málaga,Venezuela,27000
53,Female,Alacant,España,21000
65,Male,Madrid,Alemania,17000
41,Female,Barcelona,España,23000
84,Female,A Coruña,España,32000
30,Male,La Rioja,España,20000
37,Female,Guadalajara,España,71000
40,Male,Murcia,España,106000
18,Male,Sevilla,España,34000
60,Female,A Coruña,España,21000
67,Male,Zamora,España,12000
50,Male,Zamora,España,11000
60,Male,Sevilla,España,10000
40,Female,Lleida,República Dominicana,10000
57,Male,Santa Cruz de Tenerife,Ghana,53000
37,Male,Sevilla,España,11000
54,Male,Las Palmas,Guinea,19000
71,Male,Barcelona,España,32000
53,Female,Madrid,España,25000
43,Male,Albacete,España,19000
69,Male,Santa Cruz de Tenerife,España,69000
40,Female,Madrid,España,46000
68,Female,Sevilla,España,43000
50,Female,Bizkaia,España,6000
53,Male,Asturias,España,19000
80,Male,Alacant,España,57000
76,Female,Burgos,Rumanía,20000
33,Female,Zaragoza,España,31000
57,Male,Barcelona,España,12000
51,Female,Gipuzkoa,España,37000
80,Male,Alacant,España,14000
33,Male,Ciudad Real,España,56000
72,Male,Bizkaia,España,10000
65,Male,Zamora,España,5000
25,Female,Zaragoza,España,18000
24,Male,Málaga,España,17000
42,Male,Sevilla,Senegal,26000
40,Female,Jaén,España,26000
60,Female,Córdoba,España,24000
52,Female,València,España,41000
23,Male,Cáceres,España,20000
27,Female,Sevilla,España,45000
53,Male,La Rioja,España,11000
21,Male,Barcelona,España,53000
70,Female,Madrid,España,18000
58,Male,Málaga,España,16000
58,Female,Barcelona,España,45000
29,Female,Madrid,España,20000
47,Male,Illes Balears,España,8000
50,Male,Zaragoza,España,41000
32,Female,Alacant,España,30000
54,Female,Toledo,España,39000
35,Male,Sevilla,España,21000
40,Female,Cantabria,España,80000
29,Female,Barcelona,España,31000
28,Female,Zamora,España,16000
49,Female,Murcia,España,20000
36,Male,Córdoba,Nicaragua,16000
54,Female,Gipuzkoa,Marruecos,14000
39,Female,Las Palmas,España,46000
23,Female,Barcelona,España,12000
31,Male,València,España,29000
27,Female,Toledo,España,23000
32,Male,Valladolid,España,20000
69,Male,Bizkaia,Marruecos,41000
35,Female,Pontevedra,España,16000
18,Female,Zamora,España,37000
68,Male,Barcelona,España,20000
46,Male,Almería,Marruecos,17000
42,Female,Ávila,España,33000
61,Female,Madrid,España,28000
72,Female,A Coruña,Estados Unidos de América,25000
65,Female,Madrid,España,24000
45,Female,Madrid,Colombia,27000
26,Male,La Rioja,China,37000
51,Female,Madrid,España,41000
45,Female,Lleida,Venezuela,31000
24,Female,Zaragoza,España,20000
76,Male,Alacant,España,18000
66,Male,Madrid,España,57000
62,Male,Barcelona,España,9000
59,Male,Ourense,Bolivia,10000
49,Male,Navarra,España,23000
84,Female,Madrid,España,8000
64,Female,Asturias,España,48000
31,Female,Zaragoza,España,20000
54,Male,Navarra,Ecuador,23000
43,Female,Illes Balears,España,19000
42,Female,Córdoba,España,15000
37,Male,Ciudad Real,España,37000
42,Female,Bizkaia,Venezuela,31000
67,Female,Alacant,España,12000
54,Male,Las Palmas,España,34000
83,Male,Gipuzkoa,España,14000
76,Female,Madrid,España,71000
64,Male,Murcia,España,21000
49,Female,Barcelona,España,36000
54,Male,Tarragona,España,16000
35,Female,A Coruña,España,32000
77,Female,Barcelona,España,24000
39,Female,Granada,España,14000
66,Female,Málaga,Pakistán,14000
27,Male,València,España,45000
26,Male,Madrid,España,31000
31,Female,Madrid,España,23000
49,Male,Girona,España,13000
35,Female,Tarragona,España,30000
59,Female,Santa Cruz de Tenerife,España,25000
67,Male,Tarragona,España,40000
51,Male,Salamanca,España,27000
34,Male,Asturias,Colombia,14000
47,Male,Asturias,España,16000
48,Male,Barcelona,España,23000
35,Male,Gipuzkoa,España,8000
76,Male,Málaga,España,33000
73,Female,Zamora,Camerún,13000
76,Female,Girona,España,60000
44,Female,Barcelona,España,11000
44,Male,Lleida,España,24000
41,Female,Guadalajara,España,16000
45,Female,Madrid,Marruecos,95000
41,Female,Barcelona,Marruecos,34000
34,Male,Madrid,España,25000
72,Female,Málaga,Liberia,15000
22,Male,Burgos,España,16000
22,Male,Tarragona,España,17000
65,Female,Jaén,España,12000
45,Female,Sevilla,España,21000
68,Male,Madrid,España,17000
54,Female,Tarragona,España,10000
30,Female,Madrid,España,13000
18,Male,València,Argentina,13000
69,Female,Illes Balears,Marruecos,33000
45,Female,Badajoz,España,28000
21,Female,Navarra,España,32000
72,Male,Valladolid,España,18000
49,Female,Madrid,España,29000
78,Male,Alacant,España,40000
30,Male,Granada,Ecuador,9000
63,Male,València,España,32000
22,Male,Málaga,Sudáfrica,72000
65,Female,Zamora,Rusia,19000
22,Male,Zamora,España,15000
82,Female,Madrid,España,34000
28,Male,Illes Balears,España,22000
81,Female,Madrid,España,21000
70,Male,Santa Cruz de Tenerife,España,39000
84,Male,Sevilla,España,22000
28,Female,Tarragona,Rumanía,27000
69,Female,Las Palmas,España,13000
40,Female,Zaragoza,España,38000
64,Female,València,España,35000
68,Female,Madrid,Italia,46000
24,Male,Zamora,España,57000
26,Male,Alacant,España,45000
56,Female,Lleida,España,36000
47,Male,Illes Balears,España,19000
51,Male,Madrid,España,47000
61,Female,Barcelona,España,34000
51,Male,Illes Balears,España,42000
45,Female,Asturias,España,16000
28,Male,Barcelona,Francia,36000
82,Male,Teruel,España,27000
28,Male,Zamora,España,17000
33,Female,A Coruña,España,50000
67,Male,Barcelona,España,16000
52,Female,Barcelona,Francia,47000
39,Male,Bizkaia,Perú,11000
50,Male,Granada,España,8000
49,Male,Madrid,España,22000
56,Female,Barcelona,Perú,21000
63,Female,Lugo,España,22000
38,Male,Alacant,España,74000
22,Male,Girona,España,26000
46,Male,Madrid,Paraguay,25000
36,Female,Barcelona,Perú,9000
62,Male,València,España,9000
51,Male,Bizkaia,España,53000
29,Female,Guadalajara,España,21000
80,Female,Illes Balears,España,14000
71,Male,Santa Cruz de Tenerife,España,36000
33,Female,Barcelona,España,45000
37,Male,Barcelona,Brasil,22000
53,Male,Navarra,España,17000
31,Female,Castelló,España,14000
21,Female,Valladolid,España,86000
44,Female,Badajoz,España,11000
76,Female,Badajoz,España,23000
48,Male,Palencia,Senegal,33000
26,Female,Tarragona,Estados Unidos de América,21000
57,Female,Málaga,Rusia,106000
55,Female,Illes Balears,España,14000
59,Female,Gipuzkoa,España,35000
78,Female,Bizkaia,España,9000
53,Male,Alacant,España,36000
32,Female,Barcelona,España,10000
69,Female,Alacant,Colombia,29000
66,Female,Sevilla,España,10000
42,Male,València,España,17000
51,Female,Alacant,España,23000
70,Male,Barcelona,España,26000
58,Male,Bizkaia,España,125000
39,Female,Barcelona,España,20000
56,Male,Barcelona,España,71000
48,Female,Córdoba,España,23000
51,Female,Barcelona,España,10000
39,Male,Barcelona,España,12000
48,Female,Murcia,España,27000
58,Female,Zamora,Argelia,17000
74,Female,Tarragona,España,32000
63,Female,Madrid,España,21000
57,Male,Toledo,España,53000
51,Male,Barcelona,España,47000
64,Female,Almería,España,47000
72,Female,Cáceres,Reino Unido,66000
77,Male,Murcia,España,25000
52,Female,Barcelona,Marruecos,43000
29,Male,A Coruña,Marruecos,13000
52,Male,Granada,España,7000
63,Female,Madrid,España,35000
69,Male,Madrid,España,12000
27,Female,Madrid,España,27000
49,Male,Madrid,España,6000
61,Male,València,España,39000
45,Female,Barcelona,España,3000
66,Female,Cantabria,España,47000
72,Female,Illes Balears,España,29000
30,Male,Valladolid,España,21000
67,Male,Madrid,España,29000
22,Male,Teruel,España,13000
45,Male,Burgos,Rumanía,45000
69,Male,València,España,26000
40,Female,Alacant,España,26000
43,Female,Toledo,España,15000
70,Male,Ciudad Real,España,23000
50,Female,Palencia,España,26000
55,Female,Málaga,España,48000
31,Male,Granada,Marruecos,31000
36,Female,Barcelona,España,41000
66,Male,Madrid,España,10000
28,Male,Granada,España,12000
56,Female,Las Palmas,España,24000
53,Male,Madrid,España,14000
33,Male,Barcelona,España,26000
60,Female,Santa Cruz de Tenerife,España,36000
20,Male,Barcelona,España,27000
34,Male,Alacant,España,12000
29,Female,Murcia,Argelia,13000
34,Male,Bizkaia,Venezuela,23000
31,Female,Cuenca,España,37000
78,Female,Murcia,España,17000
34,Female,Girona,España,22000
50,Male,Cantabria,España,33000
26,Male,Badajoz,España,30000
59,Female,Barcelona,España,18000
36,Male,Sevilla,España,14000
70,Female,Madrid,España,28000
31,Male,Navarra,España,18000
33,Male,Málaga,España,42000
30,Male,Cádiz,Bangladesh,8000
25,Female,València,España,15000
52,Male,Las Palmas,España,38000
58,Male,Albacete,España,52000
55,Male,Málaga,España,38000
31,Female,Madrid,Venezuela,32000
61,Female,Asturias,España,11000
39,Female,Madrid,España,64000
60,Male,Cantabria,España,24000
36,Female,Zamora,Venezuela,12000
80,Male,València,España,36000
37,Female,Sevilla,Colombia,20000
20,Male,Córdoba,España,11000
45,Female,Madrid,España,44000
63,Female,Girona,España,42000
53,Male,Tarragona,España,21000
53,Male,Barcelona,España,26000
52,Male,València,España,76000
55,Male,Almería,España,13000
54,Female,Murcia,España,21000
36,Female,Murcia,España,36000
66,Female,Murcia,Andorra,13000
84,Male,Madrid,España,17000
46,Female,Ávila,España,12000
45,Male,Córdoba,España,8000
65,Male,Madrid,España,19000
38,Male,Sevilla,España,111000
33,Female,Tarragona,España,47000
23,Male,Bizkaia,España,40000
29,Female,Barcelona,España,13000
70,Male,Barcelona,España,20000
59,Male,Navarra,España,30000
59,Female,Gipuzkoa,España,32000
19,Male,Sevilla,España,43000
50,Male,Barcelona,España,13000
45,Male,Madrid,Argentina,16000
55,Female,Almería,Venezuela,10000
35,Male,Toledo,España,29000
23,Male,Zamora,España,30000
52,Male,Madrid,España,14000
47,Male,Murcia,España,69000
78,Male,Madrid,Bolivia,13000
33,Female,Zamora,España,12000
24,Male,Alacant,España,8000
69,Male,Bizkaia,España,32000
29,Female,Madrid,España,106000
43,Male,Huelva,España,15000
44,Female,Sevilla,Venezuela,47000
84,Female,Bizkaia,Venezuela,14000
73,Male,València,España,94000
59,Male,Madrid,España,17000
50,Female,Málaga,España,15000
29,Female,Granada,España,40000
46,Male,Tarragona,España,18000
52,Male,Toledo,España,42000
55,Male,Barcelona,Colombia,28000
51,Female,Barcelona,España,10000
54,Female,València,España,11000
52,Female,València,España,9000
22,Female,Toledo,España,12000
32,Female,Burgos,Uruguay,25000
34,Female,La Rioja,Senegal,13000
54,Male,Gipuzkoa,España,10000
58,Female,Málaga,España,9000
81,Male,València,España,10000
55,Female,Girona,España,21000
67,Male,Madrid,España,29000
70,Male,Alacant,España,19000
29,Female,Santa Cruz de Tenerife,España,85000
61,Female,Navarra,España,15000
83,Male,Barcelona,España,7000
53,Male,Zamora,Marruecos,114000
51,Male,La Rioja,España,35000
81,Male,Madrid,España,28000
76,Female,Madrid,España,19000
21,Male,Gipuzkoa,España,10000
52,Male,Murcia,España,5000
28,Male,Ourense,España,10000
53,Male,Alacant,Venezuela,11000
33,Male,Zaragoza,España,33000
54,Male,Málaga,España,9000
55,Female,Santa Cruz de Tenerife,España,25000
67,Male,Barcelona,España,36000
46,Female,Madrid,Marruecos,16000
51,Male,Zaragoza,España,34000
43,Female,Zamora,España,12000
38,Female,Albacete,Colombia,15000
61,Female,Las Palmas,España,25000
60,Female,Albacete,España,41000
34,Male,València,España,12000
36,Male,Barcelona,España,12000
42,Male,Madrid,España,22000
64,Male,Illes Balears,España,17000
43,Male,Tarragona,España,36000
24,Female,Ourense,España,20000
41,Male,Valladolid,República Dominicana,6000
49,Female,Gipuzkoa,España,51000
61,Male,Lleida,España,27000
39,Female,València,España,17000
49,Male,Melilla,Ecuador,8000
49,Female,Granada,España,39000
65,Male,Sevilla,Reino Unido,9000
42,Male,Jaén,Rumanía,22000
50,Male,Madrid,España,7000
82,Male,Asturias,España,24000
18,Female,Valladolid,España,23000
29,Female,Palencia,Pakistán,5000
52,Female,Madrid,España,9000
49,Male,Salamanca,España,34000
20,Male,Ciudad Real,España,12000
81,Male,Asturias,España,25000
69,Female,Zamora,España,51000
55,Female,Jaén,España,11000
49,Female,Madrid,España,24000
19,Male,Alacant,España,33000
82,Male,Sevilla,España,9000
62,Female,Valladolid,Italia,22000
25,Female,Madrid,España,11000
83,Male,Alacant,España,14000
68,Male,Alacant,España,14000
36,Male,Toledo,España,53000
40,Male,Cáceres,España,13000
40,Male,Sevilla,España,29000
83,Male,Barcelona,Senegal,35000
55,Female,Palencia,Marruecos,26000
24,Male,Alacant,España,24000
49,Male,Madrid,España,21000
60,Male,Murcia,España,24000
31,Male,Almería,España,53000
70,Female,Barcelona,España,28000
78,Female,Zaragoza,España,34000
39,Female,València,España,24000
67,Female,Cantabria,España,76000
47,Female,Madrid,Marruecos,69000
70,Male,Madrid,España,16000
66,Male,Badajoz,Colombia,37000
37,Male,Córdoba,España,28000
55,Male,Madrid,España,25000
31,Female,Asturias,Marruecos,21000
45,Male,Alacant,España,25000
79,Female,Navarra,España,9000
41,Male,Cádiz,España,28000
56,Male,Illes Balears,España,9000
72,Male,Barcelona,España,23000
22,Male,Madrid,España,20000
53,Female,Navarra,España,53000
41,Female,Barcelona,España,17000
67,Female,Navarra,México,32000
79,Male,Burgos,España,30000
46,Female,Illes Balears,España,17000
40,Male,Girona,España,44000
69,Female,Madrid,España,20000
44,Female,Tarragona,España,26000
20,Male,Zaragoza,España,32000
60,Female,Las Palmas,España,18000
24,Female,Bizkaia,España,17000
27,Female,València,España,9000
54,Female,Zaragoza,España,15000
70,Female,Alacant,España,29000
78,Male,Madrid,España,62000
31,Female,València,España,52000
53,Female,Madrid,España,28000
36,Female,Salamanca,España,63000
44,Female,Ciudad Real,España,21000
84,Male,Murcia,España,18000
21,Male,Zamora,España,16000
52,Male,Madrid,España,15000
83,Male,Zaragoza,España,16000
81,Male,Palencia,España,36000
24,Female,Almería,España,37000
35,Female,Madrid,Venezuela,35000
84,Male,Madrid,España,11000
48,Female,Zamora,España,18000
52,Female,Alacant,España,60000
30,Female,Madrid,España,15000
31,Male,Madrid,España,23000
51,Female,Sevilla,Colombia,26000
36,Female,Gipuzkoa,España,6000
68,Male,Illes Balears,Argentina,13000
61,Female,Madrid,España,26000
40,Female,Girona,España,40000
33,Male,Murcia,España,4000
78,Male,Alacant,España,22000
83,Male,Salamanca,España,17000
25,Female,Bizkaia,España,13000
50,Female,Barcelona,España,33000
19,Female,Zaragoza,España,33000
69,Male,Cantabria,España,8000
56,Female,Badajoz,España,8000
82,Male,Tarragona,España,11000
82,Female,Barcelona,España,17000
34,Male,Tarragona,España,9000
33,Female,Alacant,España,19000
28,Female,Murcia,España,30000
39,Female,Sevilla,Colombia,39000
53,Female,Ourense,Italia,16000
69,Male,Murcia,España,11000
53,Female,Valladolid,Francia,28000
19,Female,Madrid,España,14000
30,Male,Navarra,España,19000
47,Female,Córdoba,España,37000
65,Male,Araba,Ecuador,14000
50,Female,Badajoz,España,27000
39,Female,Alacant,España,43000
55,Female,Asturias,España,88000
46,Female,Granada,España,30000
50,Male,València,Italia,47000
51,Male,Barcelona,España,20000
60,Female,Las Palmas,España,14000
33,Female,Madrid,España,18000
44,Female,València,España,34000
22,Male,Illes Balears,España,9000
30,Female,Alacant,España,10000
49,Female,Córdoba,España,23000
30,Female,Illes Balears,España,37000
27,Female,Cantabria,España,50000
33,Female,Santa Cruz de Tenerife,España,26000
29,Male,Madrid,España,20000
29,Male,Murcia,España,28000
53,Female,València,España,34000
49,Male,Palencia,España,13000
45,Male,Barcelona,España,47000
27,Female,Alacant,España,15000
35,Male,Asturias,España,9000
81,Male,Las Palmas,España,27000
47,Male,Illes Balears,España,31000
55,Female,Barcelona,España,17000
46,Male,Barcelona,España,51000
54,Male,Granada,España,50000
43,Male,Alacant,España,18000
31,Male,Tarragona,España,9000
57,Female,Madrid,Marruecos,29000
45,Female,Sevilla,España,52000
68,Male,Sevilla,España,20000
63,Male,València,España,28000
37,Female,Castelló,España,6000
43,Female,Málaga,España,46000
46,Female,A Coruña,España,12000
56,Male,Sevilla,España,26000
51,Male,Madrid,España,36000
43,Male,Madrid,Perú,17000
51,Male,Bizkaia,España,20000
43,Male,Alacant,España,30000
18,Female,León,Bolivia,20000
30,Male,Badajoz,España,37000
78,Female,Madrid,España,80000
34,Male,Jaén,España,16000
39,Female,Alacant,Guinea-Bissau,22000
62,Male,Albacete,España,22000
39,Male,Córdoba,España,8000
73,Female,Tarragona,Marruecos,20000
21,Male,Santa Cruz de Tenerife,España,38000
26,Male,Barcelona,España,24000
37,Male,Sevilla,España,27000
50,Female,Murcia,España,49000
48,Male,A Coruña,España,38000
66,Female,Ourense,España,18000
49,Female,Madrid,Argentina,42000
42,Female,Sevilla,China,12000
51,Male,Barcelona,Rusia,58000
66,Female,Almería,España,23000
28,Male,Alacant,Colombia,13000
46,Female,Madrid,España,9000
20,Female,Granada,España,18000
70,Male,Madrid,España,11000
24,Male,Córdoba,España,16000
59,Male,Granada,Resto de Países Asiáticos,33000
44,Female,Las Palmas,Irlanda,64000
35,Male,Córdoba,España,9000
52,Female,A Coruña,España,23000
28,Female,Barcelona,Argentina,24000
38,Male,Burgos,España,23000
75,Male,Madrid,España,41000
64,Male,València,España,43000
29,Male,Illes Balears,España,11000
43,Female,Murcia,España,34000
18,Female,Madrid,Reino Unido,41000
20,Female,Málaga,España,16000
24,Male,Barcelona,España,10000
41,Male,Las Palmas,España,12000
24,Female,Lleida,España,13000
55,Female,Madrid,Reino Unido,26000
70,Female,Las Palmas,España,16000
45,Male,Madrid,España,4000
19,Female,Sevilla,España,9000
60,Male,Toledo,España,55000
39,Female,Zamora,República Dominicana,12000
25,Male,Gipuzkoa,España,11000
18,Female,Madrid,España,27000
24,Male,Almería,España,52000
20,Male,Asturias,Argentina,22000
60,Male,València,España,13000
22,Male,València,España,25000
64,Female,Madrid,China,63000
73,Male,València,España,50000
45,Female,Alacant,España,15000
32,Male,Barcelona,España,134000
77,Female,Huelva,España,25000
83,Female,Madrid,España,31000
63,Female,Madrid,España,19000
79,Male,Ourense,España,8000
52,Female,Barcelona,España,26000
70,Male,Barcelona,España,119000
19,Male,Huelva,España,18000
42,Male,Alacant,España,32000
43,Male,Zamora,España,16000
70,Male,Murcia,España,53000
67,Female,Castelló,España,112000
56,Male,Zamora,Marruecos,54000
32,Female,Las Palmas,España,24000
46,Female,Las Palmas,España,38000
33,Male,Huesca,España,7000
33,Female,Gipuzkoa,España,58000
22,Male,Albacete,España,20000
22,Female,Murcia,España,14000
50,Female,Madrid,España,32000
29,Male,València,España,10000
78,Male,Madrid,España,58000
51,Male,València,España,13000
36,Female,Sevilla,España,24000
72,Male,Granada,España,39000
38,Male,Alacant,España,46000
43,Male,Las Palmas,España,8000
21,Female,Madrid,España,40000
50,Male,Valladolid,España,14000
68,Female,Navarra,España,21000
48,Female,Murcia,Reino Unido,48000
38,Male,Córdoba,España,26000
83,Female,Barcelona,España,7000
70,Female,Madrid,España,26000
48,Male,Badajoz,España,9000
51,Female,Alacant,Países Bajos,14000
60,Female,Madrid,España,16000
62,Female,Ourense,España,69000
48,Female,Zamora,España,30000
18,Male,Cádiz,Ecuador,34000
29,Female,Barcelona,España,12000
31,Male,Alacant,España,15000
74,Male,València,España,18000
44,Female,Ávila,España,26000
69,Male,Madrid,España,19000
54,Female,Cantabria,España,26000
19,Male,Palencia,Reino Unido,23000
30,Male,València,Venezuela,7000
55,Female,Barcelona,España,30000
44,Female,Barcelona,España,16000
80,Male,Santa Cruz de Tenerife,España,19000
20,Male,Alacant,España,24000
23,Female,València,España,8000
53,Male,Alacant,España,34000
28,Female,Alacant,España,21000
22,Female,Castelló,España,21000
65,Male,Barcelona,España,47000
18,Male,Illes Balears,España,37000
61,Male,Barcelona,España,12000
61,Female,A Coruña,España,13000
33,Male,Tarragona,España,19000
56,Male,Navarra,Bélgica,35000
41,Female,Lugo,España,42000
82,Female,Madrid,España,34000
82,Female,Gipuzkoa,España,21000
36,Male,Castelló,España,38000
19,Male,Murcia,España,27000
20,Female,Alacant,España,24000
40,Male,Sevilla,España,22000
56,Male,Huelva,España,8000
28,Male,Alacant,España,51000
35,Male,Sevilla,España,17000
62,Male,Sevilla,España,45000
70,Male,Guadalajara,España,23000
67,Female,Asturias,España,18000
72,Male,Illes Balears,España,12000
55,Male,Almería,España,13000
42,Female,Burgos,Venezuela,16000
59,Male,Bizkaia,España,16000
67,Male,Barcelona,España,19000
64,Male,Córdoba,España,22000
36,Male,Barcelona,España,19000
66,Male,Castelló,España,24000
54,Female,Salamanca,España,26000
39,Female,Barcelona,España,27000
29,Male,Lugo,España,36000
65,Female,Granada,España,23000
43,Female,Sevilla,España,35000
43,Female,Granada,España,38000
54,Male,Madrid,España,22000
61,Female,Barcelona,España,15000
32,Female,Madrid,España,16000
37,Male,Huelva,España,41000
64,Male,Valladolid,España,61000
45,Male,Madrid,España,11000
36,Male,València,España,19000
66,Female,Córdoba,España,24000
62,Female,Las Palmas,España,9000
31,Male,Madrid,España,24000
18,Male,Salamanca,España,22000
69,Female,Almería,España,38000
28,Female,Cáceres,España,19000
24,Female,Madrid,España,7000
29,Male,Sevilla,España,26000
44,Male,Zaragoza,España,5000
66,Male,Murcia,España,20000
64,Female,Tarragona,España,25000
38,Female,Córdoba,España,47000
48,Female,Lleida,España,25000
24,Male,Barcelona,Bolivia,49000
75,Male,Gipuzkoa,España,38000
45,Female,Almería,España,17000
46,Female,Las Palmas,España,25000
39,Female,Toledo,Brasil,16000
19,Female,Madrid,España,8000
40,Female,Cáceres,España,19000
30,Female,Barcelona,España,18000
59,Male,Toledo,España,52000
55,Female,Madrid,España,40000
45,Female,Jaén,España,22000
22,Female,Huelva,España,11000
43,Male,Alacant,España,13000
18,Female,Sevilla,España,7000
20,Female,Madrid,España,15000
29,Female,La Rioja,España,15000
44,Male,Illes Balears,España,21000
42,Female,Barcelona,España,13000
24,Female,Cáceres,Pakistán,10000
52,Male,Alacant,España,9000
34,Male,Murcia,España,57000
60,Male,Huesca,Países Bajos,19000
79,Female,Ceuta,España,14000
41,Female,Valladolid,España,4000
48,Male,Guadalajara,España,4000
73,Male,Sevilla,Paraguay,80000
